Id,poisonous
5165,1
4281,1
231,0
3890,0
1521,1
5874,0
1847,0
1023,0
3561,1
6885,1
5170,0
5224,1
589,0
5337,1
1107,1
6452,1
2640,1
3035,1
3339,0
4465,1
5915,0
5046,0
7859,0
7855,1
6503,1
497,1
5325,0
6535,0
3927,0
1573,1
1975,1
3982,0
6580,0
8051,1
4567,0
5109,0
7208,1
7109,0
1253,1
6520,1
7497,0
3522,1
7559,1
3104,1
6305,1
3066,1
4749,1
754,0
1941,0
2940,0
366,1
2625,0
1189,0
6046,1
1299,1
2667,1
6984,0
3300,0
1829,0
7794,0
4027,0
2806,0
866,0
7117,1
4787,1
8091,0
20,1
1353,0
2215,1
5742,0
6560,0
3844,1
1070,1
7433,0
7990,1
5475,1
5366,0
915,0
3138,0
5035,0
1382,1
1571,0
7757,0
3361,0
7044,1
6005,0
2230,0
5373,1
5303,0
3193,0
6766,0
6484,0
6516,1
7603,1
4874,1
2417,0
6146,0
7110,0
4066,0
3885,0
3472,0
1566,1
5181,0
1398,0
3881,1
8040,0
7513,1
7641,1
375,1
5027,1
3717,1
4556,1
2219,0
5744,0
6842,0
6621,0
6982,1
406,1
5535,1
6906,1
5869,1
5473,1
2145,1
417,1
6894,0
6801,0
5237,1
5412,0
583,1
8104,0
2003,0
3191,1
2192,0
633,0
3251,1
2830,1
142,1
3806,0
6663,0
1329,0
1456,1
7887,1
5,0
2493,1
234,1
723,1
5856,1
5433,0
3812,0
1599,1
1842,1
3437,0
2134,0
1550,0
1944,1
2350,0
6310,1
531,1
7496,0
7243,0
1653,1
3540,0
3769,0
532,0
291,0
2345,0
51,0
2378,1
7706,0
2446,0
4906,0
1029,0
720,1
1820,0
7846,0
1150,0
3425,0
1060,1
850,0
4492,0
5323,0
2888,0
1457,0
3057,1
482,0
89,0
7466,1
7477,1
6464,1
1693,0
7974,0
1669,0
38,1
277,1
7798,0
7818,0
7069,0
2138,1
495,1
276,0
8036,1
4268,0
421,0
1983,1
6123,0
6471,0
7350,0
5621,1
6494,0
7330,0
4704,1
72,1
958,0
4003,1
2354,1
6887,1
1595,0
7781,0
2130,1
1675,1
5100,1
5427,0
7763,1
819,0
7206,0
2146,1
1491,1
6446,0
1168,0
5857,1
1357,1
2739,1
1645,1
2388,1
4564,0
6962,0
8121,1
7392,0
5158,1
1034,1
1165,0
4177,0
117,0
5743,1
608,0
1436,0
6178,0
1275,0
2741,1
7751,0
1716,0
2988,0
596,1
7708,1
1470,0
2565,1
5051,1
4687,0
1650,0
1347,1
35,0
6816,1
7645,1
3379,0
4811,0
5161,0
5867,1
8123,0
5244,0
7711,0
1594,1
2966,1
5349,1
1582,0
3704,0
6493,0
50,0
1194,0
7742,1
2704,0
2217,1
7675,1
1831,1
3131,1
6150,1
6719,1
3225,0
3323,0
8025,0
402,0
4160,1
19,1
337,0
6114,1
7473,1
6212,0
3291,0
6087,0
6641,0
2204,1
1384,1
6528,1
2674,0
610,0
5522,1
3799,1
390,1
2016,1
7106,0
2317,0
4131,1
1359,0
2618,1
5411,1
6751,1
7775,1
7921,1
3297,0
5191,0
211,0
693,1
5782,0
7685,0
3882,1
5281,0
5755,0
4229,0
1823,0
5184,1
5333,0
5312,1
5393,1
6277,0
70,1
4167,1
2793,1
3697,1
551,0
5858,1
6032,0
1637,1
3144,1
2010,0
3701,0
4834,1
1947,1
445,1
63,0
6927,0
780,1
6576,1
7168,0
824,0
1184,1
3085,1
6787,0
6632,1
7778,1
2358,0
4431,0
973,1
4514,1
3075,0
4108,0
2251,0
6281,1
6870,1
6240,1
2284,1
5975,0
822,0
4407,1
283,0
3429,0
342,1
1558,1
2569,1
4416,0
2850,1
4733,0
6411,1
3615,0
7309,0
7616,1
5604,0
4035,1
3016,0
7259,1
5124,1
5331,0
3728,0
2025,1
1498,1
2713,0
6765,0
4598,1
2842,0
3632,1
844,0
727,1
5636,0
4839,1
5316,0
1505,1
4266,0
3705,0
4292,0
5990,0
2119,1
2880,1
2693,0
3925,1
6800,1
762,0
4421,1
3201,0
3382,1
5672,0
4627,1
1685,1
6001,0
7137,1
5716,1
4502,1
2105,1
1705,1
1020,0
3389,0
416,0
6944,0
8114,1
2019,1
6405,0
3856,0
5394,0
5068,0
6727,1
5071,0
7594,1
7282,0
5760,1
8044,0
3954,0
1856,1
6577,1
2952,1
2127,0
7126,1
285,1
636,0
3831,1
2970,0
1109,1
6597,1
1167,0
1966,0
1338,1
7340,0
4621,0
5549,1
2189,1
6127,1
2152,0
6638,0
7079,0
2809,1
4747,0
5380,1
4290,0
6607,0
5819,1
3720,0
7814,1
6243,0
6759,0
2939,1
158,1
328,0
656,1
6320,1
6477,0
2677,1
1679,0
5654,0
3072,1
2848,1
4615,0
6803,0
6846,0
399,1
6432,1
7827,1
3543,1
2836,1
4713,0
2963,0
2478,1
7607,0
5437,1
843,0
5111,1
6598,1
5064,0
1740,0
7361,0
5277,1
2568,1
3149,1
88,0
6784,1
2907,0
2296,0
5212,0
5120,1
2670,1
2274,0
7658,1
6614,0
4602,1
2857,0
3110,1
1506,0
3832,0
2766,1
7325,0
1791,1
3729,1
6256,0
7585,0
8089,1
4277,0
6374,0
7568,0
5232,0
3883,0
3872,0
1349,0
7989,0
4929,0
6582,1
7980,0
2357,0
3932,0
6876,0
1409,1
614,1
4804,1
6317,1
6410,0
4965,0
6589,1
305,0
64,1
3750,1
7483,0
668,1
3996,1
5399,1
7907,0
701,1
6694,0
4289,0
2732,1
1982,0
45,0
4186,1
3851,0
5257,1
4262,0
2753,0
30,1
7882,0
3845,1
384,1
3062,1
3978,1
6279,0
4575,1
7254,1
3702,1
6958,0
2920,1
700,1
235,1
3536,1
2480,1
2401,0
2295,1
7314,0
6459,1
3986,1
262,1
5211,0
5852,1
5459,0
266,1
6810,1
2987,0
2624,0
1278,0
7571,0
3849,0
3391,1
3737,0
3308,1
3647,1
5816,0
7177,1
1035,1
794,1
7010,0
5937,0
995,0
7923,1
6280,1
6531,0
3475,0
4336,0
6010,0
5199,1
6687,1
2205,0
5947,0
7548,1
5659,0
4623,0
2696,1
8080,0
119,0
3071,1
6823,0
7372,0
4631,1
1044,0
2519,0
8109,0
1978,0
1700,1
8071,1
6537,1
7633,0
7656,0
3871,0
1415,1
978,1
6389,0
7230,1
4905,1
3186,0
4891,0
6433,0
1339,1
3233,1
499,0
4436,0
1980,1
3412,0
2933,1
1071,0
1697,0
3106,0
6517,0
6353,0
5813,1
7407,1
5299,1
6881,1
3313,0
4688,0
5893,1
4368,0
1152,0
494,1
3558,1
2547,0
528,1
3172,0
976,0
970,0
792,0
5663,0
6074,0
6780,0
3079,0
4490,0
2468,0
6245,0
4470,0
2778,0
5193,0
2201,0
7124,0
4315,0
2953,1
3430,0
7322,0
6521,1
1100,1
4348,1
3575,1
3350,0
6403,0
4260,1
16,1
3360,1
5414,1
7958,1
7195,0
654,0
3443,0
3155,0
4320,1
6615,0
6296,1
4214,0
1232,1
3493,0
1924,1
2679,1
5213,1
5652,1
7829,0
4645,0
1654,0
4282,0
7528,1
8077,0
4452,1
7771,1
4769,0
1495,0
6653,1
5329,0
448,1
1025,1
2137,0
7933,1
1416,0
4413,0
7900,1
7093,1
585,1
4864,1
4959,0
2593,1
7879,1
1862,0
2636,1
111,0
5958,0
5284,1
5591,1
5255,1
2858,0
4165,0
6986,1
3669,0
4519,0
4513,0
6090,0
4528,0
2000,0
341,1
3597,1
1421,0
4084,0
3671,1
4048,0
4226,0
4438,1
1269,0
5397,1
846,0
2660,1
1801,1
3440,1
1038,1
1431,1
5723,1
483,1
136,0
5098,0
2017,1
6858,0
1781,1
4796,0
4816,0
3765,0
7161,0
6866,0
3980,0
7427,1
2967,0
1328,0
7308,0
4522,1
2419,0
2576,0
2579,0
7338,0
4242,0
1535,1
1087,1
4133,0
4896,0
365,0
1408,1
3198,0
3724,0
4770,0
4019,1
5855,1
1459,0
1614,1
6027,0
900,1
2843,0
3500,1
7844,0
4498,0
7540,0
1554,0
6217,1
4799,0
5987,0
5592,0
2208,0
898,0
3330,0
7929,1
5945,1
1203,0
7511,0
224,1
1175,1
4776,1
5375,0
2999,1
451,1
2012,1
5884,0
470,0
7728,0
3545,1
5959,0
7063,0
7636,0
6180,1
3010,1
4690,0
3372,1
